job_id,num_gpu,submit_time,iterations,model_name,duration,interval
7511,8,0,0,vgg16,1441447,571085
7900,5,571085,0,alexnet,59741,21721
7947,1,592806,0,alexnet,4140,955
7955,1,594763,0,inception3,500,1137
7985,1,595900,0,vgg16,137703,1403
7989,1,597303,0,resnet50,2,4438
7997,6,601741,0,inception4,24,43
7998,6,601784,0,vgg16,24,683
8000,6,602467,0,vgg16,77,2761
8007,1,605228,0,inception4,86,1730
8020,1,606958,0,vgg19,99,539
8026,1,607497,0,inception4,349,812
8032,1,608309,0,inception3,12,42
8033,1,608351,0,inception3,48,247
8038,1,609059,0,resnet50,83,267
8040,1,609326,0,vgg19,122,26
8041,1,609352,0,resnet152,42,209
8043,1,609561,0,vgg16,20808,29
8044,1,609590,0,alexnet,33333,2876
8112,1,653984,0,resnet50,115,474
8113,1,654458,0,vgg19,24,161
8114,1,654619,0,vgg19,82,396
8115,1,655015,0,resnet152,82,3006
8117,5,658021,0,resnet152,11,260
8118,5,658281,0,alexnet,33,118
8121,5,658399,0,alexnet,34,684
8124,5,659083,0,vgg19,87,33
8125,5,659116,0,vgg19,60,150
8126,5,659266,0,inception3,11713,56
8128,5,659322,0,alexnet,81393,1806
8138,1,666551,0,resnet101,1,328
8139,1,666879,0,inception3,43882,583
8141,8,667462,0,resnet101,11,70
8142,8,667532,0,inception4,82601,56
8143,8,667588,0,alexnet,11884,7109
8174,6,675280,0,resnet152,1,1
8177,6,675514,0,vgg19,1,197
8185,8,677936,0,alexnet,216348,1860
8200,4,679796,0,inception4,3477,109
8201,4,679905,0,resnet101,4344,3376
8237,4,727646,0,resnet101,1,161
8238,4,727807,0,resnet101,1,64
8239,4,727871,0,vgg19,1,59
8240,4,727930,0,resnet50,1,1263
8249,4,729572,0,inception4,18,57
8250,4,729629,0,vgg16,3549,57
8251,4,729686,0,vgg19,3747,15
8252,4,729701,0,resnet50,2793,5
8253,4,729706,0,inception3,3683,4
8254,4,729710,0,vgg19,3705,5
8255,4,729715,0,resnet50,3619,3
8256,4,729718,0,inception3,4281,403
8260,1,730121,0,vgg11,122,3745
8276,4,733866,0,resnet101,11,3041
8285,8,736907,0,vgg19,37,53
8286,8,736960,0,vgg19,34,87
8288,5,737047,0,alexnet,17154,111
8290,8,737158,0,vgg16,50,25
8291,5,737183,0,vgg16,17780,61
8292,5,737244,0,resnet152,34,55
8293,5,737299,0,resnet152,34,220
8294,5,737519,0,vgg16,33,28
8295,5,737547,0,vgg19,17623,198
8296,8,737745,0,inception4,36,40
8297,5,737785,0,vgg19,38,5
8298,8,737790,0,resnet101,4271,23
8300,1,737829,0,resnet50,1000,29
8301,1,737858,0,inception3,1000,48
8302,1,737906,0,resnet50,1000,161
8303,5,738067,0,vgg19,35,162
8307,8,738229,0,inception3,118,265
8309,3,738494,0,inception3,17040,443
8310,7,738937,0,resnet101,121,680
8312,4,739617,0,resnet50,3884,13
8313,4,739630,0,vgg19,4068,434
8314,8,740064,0,inception3,38,484
8315,8,740548,0,inception4,35,154
8316,6,740702,0,vgg11,34,4686
8318,8,745388,0,vgg16,11224,859
8321,4,746247,0,resnet152,3716,12
8322,4,746259,0,vgg16,3647,32
8323,4,746291,0,resnet101,3678,11
8324,4,746302,0,inception4,4042,16
8325,4,746318,0,vgg11,3905,11
8326,4,746329,0,resnet101,3173,74
8327,4,746403,0,resnet50,4057,14
8328,4,746417,0,vgg16,3117,17
8329,4,746434,0,resnet152,4319,16
8330,4,746450,0,inception4,3739,19
8332,4,746487,0,resnet152,3089,1285
8335,5,747772,0,inception4,27021,644
8339,8,748416,0,vgg11,45,132
8340,8,748548,0,inception4,34,1648
8346,1,750196,0,resnet50,8,60
8347,1,750256,0,vgg16,8,661
8350,1,750917,0,vgg16,48338,459
8351,4,751376,0,resnet50,3980,17
8352,4,751393,0,vgg11,2753,30
8353,4,751423,0,vgg11,3192,29
8354,4,751452,0,vgg16,3580,828
8358,4,752546,0,inception3,1,113
8361,4,752659,0,vgg19,7116,2388
8367,4,755047,0,inception3,4274,13
8368,4,755060,0,inception3,3836,15
8369,4,755075,0,alexnet,4347,1013
8373,4,756088,0,resnet50,4629,20
8374,4,756108,0,inception3,4229,549
8377,8,756657,0,resnet152,47975,47
8378,8,756704,0,vgg16,17937,55
8379,8,756759,0,resnet152,60827,375
8380,1,757134,0,resnet152,60485,453
8382,4,757676,0,alexnet,5643,66
8383,4,757742,0,resnet101,5673,10
8384,4,757752,0,inception4,4058,21
8386,4,757773,0,vgg16,3824,21
8387,4,757794,0,vgg11,4669,8
8388,4,757802,0,vgg19,4650,745
8400,1,759045,0,inception4,36,150
8402,5,759198,0,inception3,21160,178
8404,3,759376,0,resnet101,23228,88
8406,4,759464,0,resnet152,21979,212
8407,1,759676,0,inception3,917,1244
8410,1,760920,0,vgg11,925,80
8411,8,761000,0,inception3,27,70
8412,1,761070,0,vgg19,10,2211
8416,4,763281,0,inception3,7529,13
8417,4,763294,0,inception3,7102,20
8418,4,763314,0,vgg19,7311,4323
8436,4,767637,0,inception3,6339,12
8437,4,767649,0,resnet101,6340,11
8438,4,767660,0,resnet101,6319,11
8439,4,767671,0,resnet50,6305,23
8440,4,767694,0,alexnet,6289,2974
